name,is_closed,url,review_count,categories,rating,latitude,longitude,price,address1,city,country,state,distance,price_numeric
Oak's Burritos,False,https://www.yelp.com/biz/oaks-burritos-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,7,"Mexican, Fast Food",4.5,-30.0235977,-51.2019958,$,"Rua Félix da Cunha, 1215",Porto Alegre,BR,RS,1812.94,1.0
Restaurante Palato,False,https://www.yelp.com/biz/restaurante-palato-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,4,Restaurants,3.5,-30.027977,-51.2225876,$,Av. Alberto Bins 410 - 3,Porto Alegre,BR,RS,2184.65,1.0
Bill Rostr,False,https://www.yelp.com/biz/bill-rostr-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,1,Restaurants,4.0,-30.0323067,-51.227581,$,Av. Borges de Medeiros 658 lj 1,Porto Alegre,BR,RS,2382.61,1.0
Café do Duque,False,https://www.yelp.com/biz/caf%C3%A9-do-duque-porto-alegre-2?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,9,"Cafes, Bistros, Diners",5.0,-30.0334816,-51.2277069,$$,"R. Duque de Caxias, 1354",Porto Alegre,BR,RS,2339.49,2.0
Midbar,False,https://www.yelp.com/biz/midbar-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,4,Buffets,4.0,-30.0355358,-51.2085114,,"Rua Ramiro Barcelos, 1853",Porto Alegre,BR,RS,632.88,
Churrascaria Galpão Crioulo,False,https://www.yelp.com/biz/churrascaria-galp%C3%A3o-crioulo-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,6,Steakhouses,4.0,-30.040157,-51.237695,$$$,Parque Maurício Sirotsky Sobrinho,Porto Alegre,BR,RS,3192.63,3.0
Mario marazana,False,https://www.yelp.com/biz/mario-marazana-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,1,Bistros,4.0,-30.0457783,-51.1970634,,"R. Vicente da Fontoura, 1857",Porto Alegre,BR,RS,970.16,
Confeitaria Marzana,False,https://www.yelp.com/biz/confeitaria-marzana-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,4,"Candy Stores, Caterers, Cafes",4.5,-30.0295582,-51.2243805,$$,"Rua dos Andradas, 1718",Porto Alegre,BR,RS,2234.66,2.0
Tango Sabores de Uruguay,False,https://www.yelp.com/biz/tango-sabores-de-uruguay-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,4,"Bars, Diners",4.0,-30.0390739,-51.2244453,$$,"R. da República, 471",Porto Alegre,BR,RS,1907.03,2.0
Restaurante Indiano Sharin,False,https://www.yelp.com/biz/restaurante-indiano-sharin-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,4,Indian,4.5,-30.0229168,-51.1923828,$$$,R. Felipe Neri 332,Porto Alegre,BR,RS,2223.23,3.0
