data_hora;temp_ambiente;temp_agua
16/6/2023 15:49:3;27.37;29.87
16/6/2023 15:49:33;27.37;29.94
16/6/2023 15:50:4;27.37;29.94
16/6/2023 15:50:35;27.37;30.00
16/6/2023 15:51:5;27.37;30.06
16/6/2023 15:51:36;27.37;30.06
16/6/2023 15:52:7;27.37;30.12
16/6/2023 15:52:37;27.37;30.06
16/6/2023 15:53:8;27.37;29.94
16/6/2023 15:53:39;27.37;30.00
16/6/2023 15:54:9;27.37;30.06
16/6/2023 15:54:41;27.37;30.00
16/6/2023 15:55:11;27.37;30.06
16/6/2023 15:55:42;27.37;30.06
16/6/2023 15:56:13;27.37;30.06
16/6/2023 15:56:43;27.37;30.06
16/6/2023 15:57:14;27.37;30.06
16/6/2023 15:57:45;27.37;30.06
16/6/2023 15:58:15;27.86;30.06
16/6/2023 15:58:46;27.37;30.00
16/6/2023 15:59:17;27.37;30.00
16/6/2023 15:59:47;27.37;30.00
16/6/2023 16:0:18;27.37;29.94
16/6/2023 16:0:49;27.37;30.00
16/6/2023 16:1:19;27.37;29.94
16/6/2023 16:1:50;26.88;29.87
16/6/2023 16:2:21;26.88;29.94
16/6/2023 16:2:51;26.88;29.94
16/6/2023 16:3:22;26.88;29.94
16/6/2023 16:3:53;26.88;29.87
16/6/2023 16:4:23;26.88;29.87
16/6/2023 16:4:54;26.88;29.87
16/6/2023 16:5:25;26.88;29.81
16/6/2023 16:5:55;26.39;29.81
16/6/2023 16:6:26;26.88;29.87
16/6/2023 16:6:57;26.88;29.87
16/6/2023 16:7:27;26.88;29.94
16/6/2023 16:7:58;26.88;29.94
16/6/2023 16:8:29;26.88;29.94
16/6/2023 16:8:59;26.88;29.94
16/6/2023 16:9:30;26.88;30.06
16/6/2023 16:10:1;26.88;30.12
16/6/2023 16:10:31;26.88;30.06
16/6/2023 16:11:2;26.88;30.19
16/6/2023 16:11:33;26.88;30.06
16/6/2023 16:12:3;26.88;30.06
16/6/2023 16:12:34;26.88;30.12
16/6/2023 16:13:5;26.88;30.12
16/6/2023 16:13:35;26.88;30.06
16/6/2023 16:14:6;26.88;30.12
16/6/2023 16:14:37;26.88;30.06
16/6/2023 16:15:7;26.88;30.12
16/6/2023 16:15:38;26.88;30.06
16/6/2023 16:16:9;26.88;30.06
16/6/2023 16:16:39;26.88;30.06
16/6/2023 16:17:10;26.88;30.06
16/6/2023 16:17:41;26.88;30.12
16/6/2023 16:18:11;26.88;30.06
16/6/2023 16:18:42;26.88;30.00
16/6/2023 16:19:13;26.88;30.00
16/6/2023 16:19:43;26.88;30.00
16/6/2023 16:20:14;26.88;30.00
16/6/2023 16:20:45;26.88;30.00
16/6/2023 16:21:15;26.88;30.00
16/6/2023 16:21:46;26.88;30.00
16/6/2023 16:22:17;26.88;29.94
16/6/2023 16:22:47;26.88;29.87
16/6/2023 16:23:18;26.88;29.94
