"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_COMPOSICAO_FEDERACAO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOMINAIS_CONVR_LEG";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD"
"11/05/2023";"19:40:17";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"TO";"TO";"TOCANTINS";"95290";"COLMÉIA";"16";"7";"Deputado Estadual";"Partido isolado";"27";"DC";"Democracia Cristã";"-1";"#NULO#";"#NULO#";"#NULO#";"270001685082";"PARTIDO ISOLADO";"DC";"N";"0";"0";"0";"2";"0";"0"
"11/05/2023";"19:40:17";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"TO";"TO";"TOCANTINS";"92142";"COMBINADO";"22";"3";"Governador";"Federação";"50";"PSOL";"Partido Socialismo e Liberdade";"3";"Federação PSOL REDE";"PSOL/REDE";"PSOL / REDE";"270001682267";"FEDERAÇÃO";"REDE / PSOL";"N";"0";"0";"0";"1";"0";"0"
"11/05/2023";"19:40:17";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"TO";"TO";"TOCANTINS";"92410";"ARAGUAÍNA";"34";"6";"Deputado Federal";"Federação";"18";"REDE";"Rede Sustentabilidade";"3";"Federação PSOL REDE";"PSOL/REDE";"PSOL / REDE";"270001683271";"FEDERAÇÃO";"REDE / PSOL";"N";"7";"0";"7";"10";"0";"0"
"11/05/2023";"19:40:17";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"TO";"TO";"TOCANTINS";"73156";"SANDOLÂNDIA";"14";"6";"Deputado Federal";"Partido isolado";"12";"PDT";"Partido Democrático Trabalhista";"-1";"#NULO#";"#NULO#";"#NULO#";"270001684646";"PARTIDO ISOLADO";"PDT";"N";"13";"0";"13";"5";"0";"0"
"11/05/2023";"19:40:17";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"TO";"TO";"TOCANTINS";"73466";"OLIVEIRA DE FÁTIMA";"13";"6";"Deputado Federal";"Partido isolado";"14";"PTB";"Partido Trabalhista Brasileiro";"-1";"#NULO#";"#NULO#";"#NULO#";"270001684073";"PARTIDO ISOLADO";"PTB";"N";"1";"0";"1";"5";"0";"0"
"11/05/2023";"19:40:17";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"TO";"TO";"TOCANTINS";"92193";"ANANÁS";"12";"7";"Deputado Estadual";"Partido isolado";"40";"PSB";"Partido Socialista Brasileiro";"-1";"#NULO#";"#NULO#";"#NULO#";"270001684079";"PARTIDO ISOLADO";"PSB";"N";"17";"0";"17";"200";"0";"0"
"11/05/2023";"19:40:17";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"TO";"TO";"TOCANTINS";"73423";"CARRASCO BONITO";"21";"6";"Deputado Federal";"Partido isolado";"70";"AVANTE";"AVANTE";"-1";"#NULO#";"#NULO#";"#NULO#";"270001684656";"PARTIDO ISOLADO";"AVANTE";"N";"0";"0";"0";"2";"0";"0"
"11/05/2023";"19:40:17";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"TO";"TO";"TOCANTINS";"73180";"SÃO MIGUEL DO TOCANTINS";"11";"7";"Deputado Estadual";"Federação";"13";"PT";"Partido dos Trabalhadores";"2";"Federação Brasil da Esperança - FE BRASIL";"PT/PC do B/PV";"PC do B / PT / PV";"270001682207";"FEDERAÇÃO";"PT / PV / PC do B";"N";"48";"0";"48";"287";"0";"0"
"11/05/2023";"19:40:17";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"TO";"TO";"TOCANTINS";"95192";"PARAÍSO DO TOCANTINS";"7";"6";"Deputado Federal";"Partido isolado";"20";"PSC";"Partido Social Cristão";"-1";"#NULO#";"#NULO#";"#NULO#";"270001683927";"PARTIDO ISOLADO";"PSC";"N";"32";"0";"32";"6523";"0";"0"
"11/05/2023";"19:40:17";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"TO";"TO";"TOCANTINS";"95699";"LIZARDA";"35";"6";"Deputado Federal";"Partido isolado";"35";"PMB";"Partido da Mulher Brasileira";"-1";"#NULO#";"#NULO#";"#NULO#";"270001683101";"PARTIDO ISOLADO";"PMB";"N";"0";"0";"0";"0";"0";"0"
"11/05/2023";"19:40:17";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"TO";"TO";"TOCANTINS";"92045";"BURITI DO TOCANTINS";"10";"6";"Deputado Federal";"Partido isolado";"15";"MDB";"Movimento Democrático Brasileiro";"-1";"#NULO#";"#NULO#";"#NULO#";"270001684730";"PARTIDO ISOLADO";"MDB";"N";"9";"0";"9";"808";"0";"0"
"11/05/2023";"19:40:17";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"TO";"TO";"TOCANTINS";"73342";"MURICILÂNDIA";"34";"7";"Deputado Estadual";"Partido isolado";"55";"PSD";"Partido Social Democrático";"-1";"#NULO#";"#NULO#";"#NULO#";"270001684655";"PARTIDO ISOLADO";"PSD";"N";"0";"0";"0";"39";"0";"0"
"11/05/2023";"19:40:17";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"TO";"TO";"TOCANTINS";"92193";"ANANÁS";"12";"7";"Deputado Estadual";"Partido isolado";"20";"PSC";"Partido Social Cristão";"-1";"#NULO#";"#NULO#";"#NULO#";"270001683921";"PARTIDO ISOLADO";"PSC";"N";"10";"0";"10";"3";"0";"0"
"11/05/2023";"19:40:17";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"TO";"TO";"TOCANTINS";"92304";"MARIANÓPOLIS DO TOCANTINS";"7";"6";"Deputado Federal";"Federação";"13";"PT";"Partido dos Trabalhadores";"2";"Federação Brasil da Esperança - FE BRASIL";"PT/PC do B/PV";"PC do B / PT / PV";"270001681597";"FEDERAÇÃO";"PT / PV / PC do B";"N";"12";"0";"12";"59";"0";"0"
"11/05/2023";"19:40:17";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"TO";"TO";"TOCANTINS";"73229";"RECURSOLÂNDIA";"33";"5";"Senador";"Partido isolado";"35";"PMB";"Partido da Mulher Brasileira";"-1";"#NULO#";"#NULO#";"#NULO#";"270001685088";"PARTIDO ISOLADO";"PMB";"N";"0";"0";"0";"0";"0";"0"
"11/05/2023";"19:40:17";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"TO";"TO";"TOCANTINS";"96130";"SÍTIO NOVO DO TOCANTINS";"11";"7";"Deputado Estadual";"Federação";"65";"PC do B";"Partido Comunista do Brasil";"2";"Federação Brasil da Esperança - FE BRASIL";"PT/PC do B/PV";"PC do B / PT / PV";"270001682207";"FEDERAÇÃO";"PT / PV / PC do B";"N";"1";"0";"1";"4";"0";"0"
"11/05/2023";"19:40:17";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"TO";"TO";"TOCANTINS";"92533";"AURORA DO TOCANTINS";"17";"6";"Deputado Federal";"Federação";"43";"PV";"Partido Verde";"2";"Federação Brasil da Esperança - FE BRASIL";"PT/PC do B/PV";"PC do B / PT / PV";"270001681597";"FEDERAÇÃO";"PT / PV / PC do B";"N";"12";"0";"12";"2";"0";"0"
"11/05/2023";"19:40:17";"2022";"2";"Eleição Ordinária";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"TO";"TO";"TOCANTINS";"73059";"MAURILÂNDIA DO TOCANTINS";"11";"6";"Deputado Federal";"Federação";"43";"PV";"Partido Verde";"2";"Federação Brasil da Esperança - FE BRASIL";"PT/PC do B/PV";"PC do B / PT / PV";"270001681597";"FEDERAÇÃO";"PT / PV / PC do B";"N";"0";"0";"0";"0";"0";"0"
